,Average Battery Life (in hours),Batteries,Brand,Card Description,Chipset Brand,Color,Computer Memory Type,Flash Memory Size,Graphics Coprocessor,Hard Drive,Hard Drive Interface,Item Dimensions  LxWxH,Item Weight,Item model number,Max Screen Resolution,Memory Speed,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Operating System,Optical Drive Type,Power Source,Processor,Processor Brand,Processor Count,Product Dimensions,RAM,Series,Standing screen display size,Wireless Type,price,rating,Hard Drive Rotational Speed,Hardware Platform,Screen Resolution,Graphics Card Ram Size,Voltage,National Stock Number,Rear Webcam Resolution,Package Dimensions,ASIN,Date First Available,Manufacturer,Manufacturer Part Number,Ruling,Batteries Included?,Batteries Required?,Display Style,Included Components,Is Discontinued By Manufacturer,Item Package Quantity,Part Number,Size,Style,Usage,Warranty Description,Department
1510,10 Hours,1 Lithium ion batteries required. (included),Lenovo,Integrated,MediaTek,Black,DDR3 SDRAM,32 GB,PowerVR GX6250 Graphics,32 GB SSD,Solid State,12.8 x 9.1 x 0.8 inches,3.2 pounds,S330 Chromebook,1366x768 Pixels,,,,Chrome OS,No Optical Drive,AC & Battery,2.1 GHz mediatek_mt8183,Mediatek,2,12.8 x 9.1 x 0.8 inches,4 GB LPDDR3,,14 Inches,Bluetooth,$239.99,4.1,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
1511,,1 Lithium ion batteries required. (included),ASUS,Integrated,Intel,Grey,DDR4 SDRAM,32 GB,Intel HD Graphics 500,32 GB SSD,Solid State,12.76 x 8.86 x 0.71 inches,3.24 pounds,Asus 14 Chromebook,HD Display,,,,Chrome OS,,AC & Battery,1.1 GHz celeron,Intel,2,12.76 x 8.86 x 0.71 inches,4 GB DDR4,Asus 14 Chromebook,14 Inches,802.11ac,$170.19,4.0,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
1512,9 Hours,1 Lithium ion batteries required. (included),HP,Integrated,Intel,Black,DDR4 SDRAM,256,Intel UHD Graphics 620,256 GB SSD,Solid State,16.3 x 10.7 x 1 inches,5.4 pounds,HP,1600 x 900,3.9 GHz,2,1,Windows 10,DVD±RW,AC & Battery,1.6 GHz apple_ci5,Intel,4,16.3 x 10.7 x 1 inches,8 GB SDRAM,Business Laptop,17.3 Inches,802.11bgn,$899.00,4.5,,PC,1600 x 900,2 MB,,,1.2 MP,,,,,,,,,,,,,,,,,,
1513,,1 Lithium ion batteries required. (included),Lenovo,Dedicated,NVIDIA,Phantom Black,DDR4 SDRAM,512 GB,GeForce RTX 2060 6GB GDDR6,512 GB SSD,Solid State,0.98 x 14.29 x 10.22 inches,5.42 pounds,Lenovo Legion 5,1920 x 1080 Pixels,,,,Windows 10 Home,,Battery Powered,4.2 GHz ryzen_7_4800h,AMD,8,0.98 x 14.29 x 10.22 inches,16 GB,Lenovo Legion 5,15.6 Inches,Bluetooth,,4.7,,PC,,,,,,,,,,,,,,,,,,,,,,,
1514,,,Lenovo,UHD Graphics 600,Intel,Black,DDR4 SDRAM,64 GB,Intel UHD Graphics 600,,,8 x 11.4 x 0.82 inches,2.89 pounds,81M90061US,1366 x 768 Pixels,,,,Windows 10 Pro Education,No,,1.1 GHz celeron,Intel,1,8 x 11.4 x 0.82 inches,4 GB LPDDR4,300e Windows 2nd Gen,11.6 Inches,"Bluetooth, 802.11ac",$305.00,5.0,,PC,1366 x 768 pixels,,,,,,,,,,,,,,,,,,,,,,
1515,7 Hours,1 Lithium ion batteries required. (included),HP,Dedicated,AMD,Silver,DDR4 SDRAM,12,AMD A9-9425 Dual-Core,128 GB flash_memory_solid_state,ATA-4,12.76 x 8.9 x 0.78 inches,11.3 ounces,7GZ76UA,1280 x 800,2400 MHz,2,2,Windows 10 S,BD-R,,12 GHz 1_2GHz_Cortex_A9,AMD,2,12.76 x 8.9 x 0.78 inches,4 GB DDR,A9-9425,14 Inches,Bluetooth,$399.00,4.4,12 RPM,Windows,1366x768,4 GB,120 Volts,7GZ76UA#ABA,,,,,,,,,,,,,,,,,,,
1516,,,Acer,Integrated,Intel,,DDR4 SDRAM,6,UHD Graphics,1 TB SSD,Solid State,,7.63 pounds,A317-52,1600 x 900 Pixels,3.6 GHz,2,1,Windows 10 Home,DVD+R,,3.6 GHz core_i5_1035g1,Intel,1,,20 GB DDR4,Acer Aspire,17.3 Inches,Bluetooth,,5.0,,PC,,,,,,22 x 12.6 x 3.5 inches,,,,,,,,,,,,,,,,,
1517,11 Hours,,HP,,Intel,Black,DDR4 SDRAM,256 GB,Intel UHD Graphics 600,64 GB SSD,Solid State,13.27 x 8.9 x 0.7 inches,3.17 pounds,HP STREM 14,1366 x 768 Pixels,2400 MHz,,,Windows 10 S,,AC & Battery,1.1 GHz celeron,Intel,2,13.27 x 8.9 x 0.7 inches,16 GB DDR4,HP Stream,14 Inches,802.11ac,$429.00,4.8,,PC,1360x768,,,,720 Pixels,,,,,,,,,,,,,,,,,,
1518,,,ASUS,,Intel,Blue,DDR4 SDRAM,,Intel UHD Graphics 600,320 GB SSD,Solid State,12.81 x 8.56 x 0.74 inches,2.87 pounds,E410,1366 x 768 Pixels,,,,Windows 10,,,1.1 GHz celeron_n,Intel,2,12.81 x 8.56 x 0.74 inches,4 GB,E410,14 Inches,,$349.99,5.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
1519,,1 Lithium ion batteries required. (included),Latitude,Integrated,,Black,DDR4 SDRAM,128 GB,Intel,128 GB SSD,Solid State,9.45 x 13.78 x 1.18 inches,4.5 pounds,3190,1366 x 768 MP,3.1 GHz,,,Windows 10 Pro,,,1.1 GHz pentium_N5000,Intel,4,9.45 x 13.78 x 1.18 inches,8 GB,Latitude,11.6 Inches,802.11n,,4.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
1520,,,MSI,Dedicated,NVIDIA,Black,DDR4 SDRAM,,NVIDIA GeForce GTX 1650 Max-Q,256 GB SSD,Solid State,14.13 x 9.99 x 0.85 inches,4.1 pounds,MSI GF63 Thin,FHD (1920 x 1080) IPS Pixels,4.5 GHz,,,Windows 10,,AC & Battery,2.4 GHz core_i5,Intel,4,14.13 x 9.99 x 0.85 inches,8 GB,MSI Gaming Laptop,15.6 Inches,Bluetooth,$849.00,3.5,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
1521,,2 Lithium Polymer batteries required. (included),AWOW,Integrated,Intel,Blue,DDR4 SDRAM,256,Intel,256 GB SSD,USB,11.42 x 8.27 x 0.59 inches,3.08 pounds,1106,1920 x 1080 Pixels,,,2,Windows 10,No Optical Drive,,2.2 GHz celeron_n3450,Intel,4,11.42 x 8.27 x 0.59 inches,8 GB LPDDR4,VT11,11.6 Inches,Bluetooth,,3.7,,PC,,,12 Volts (DC),,,,,,,,,,,,,,,,,,,,
1522,10 Hours,1 Lithium ion batteries required.,Lenovo,,AMD,Black,DDR4 SDRAM,,Integrated AMD Radeon Graphics,1 TB SSD,Solid State,20 x 14 x 4 inches,4 pounds,E15,1920 x 1080 Pixels,4.1 GHz,,,Windows 10 Pro,,AC & Battery,2 GHz amd_ryzen_7,AMD,8,20 x 14 x 4 inches,24 GB,ThinkPad E15,15.6 Inches,"Bluetooth, 802.11ac","$1,209.99",4.4,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
1523,14 Hours,1 Lithium ion batteries required.,Lenovo,Integrated,AMD,Graphite Grey,DDR4 SDRAM,16 GB,AMD Radeon Graphics,512 GB SSD,Solid State,18.33 x 16.66 x 1.67 inches,3.04 pounds,IdeaPad 5,1920x1080 Pixels,4.1 GHz,,,Windows 10 Home,,Battery Powered,4 GHz ryzen_7_4700u,AMD,6,18.33 x 16.66 x 1.67 inches,16 GB,IdeaPad 5,14 Inches,Bluetooth,,4.7,,PC,,,,,,,,,,,,,,,,,,,,,,,
1524,9 Hours,1 Lithium Metal batteries required. (included),HP,Dedicated,Intel,Indigo Blue,DDR DRAM,512 GB,NVIDIA GeForce RTX 3060,512 GB SSD,Solid State,20.5 x 19.8 x 14.8 inches,3.2 pounds,HP OMEN,1920 x 1080 MP,2400 MHz,,,Windows 10 S,,AC & Battery,4.5 GHz amd_ryzen_7,AMD,6,20.5 x 19.8 x 14.8 inches,16 GB SO-DIMM,HP Omen,15.6 Inches,802.11abg,,4.5,,PC,1366x768,,,,720 Pixels,,,,,,,,,,,,,,,,,,
1525,,1 Lithium Polymer batteries required. (included),HP,Dedicated,AMD,,SDRAM,2,AMD Radeon R7,2000 GB mechanical_hard_drive,,14.96 x 9.99 x 0.94 inches,4.5 pounds,,,2133 MHz,1,2,Windows 10,NO,,3 GHz a_series,AMD,2,14.96 x 9.99 x 0.94 inches,8 GB DDR4,HP 15.6 Touch Laptop,15.6 Inches,802.11ac,,4.2,5400 RPM,,,,,,,,,,,,,,,,,,,,,,,,
1526,9 Hours,1 Lithium Polymer batteries required. (included),HP,,AMD,,DDR4 SDRAM,256 GB,AMD Radeon™ Graphics,256 GB SSD,Solid State,14 x 12 x 4 inches,5.06 pounds,15-ef1041nr,1366 x 768 Pixels,,,,Windows 10 S,,Battery Powered,2.6 GHz amd_r_series,AMD,2,14 x 12 x 4 inches,4 GB SDRAM,,15.6 Inches,,,4.1,,PC,,,,,,,,,,,,,,,,,,,,,,,
1527,5 Hours,,Smart-US,Integrated,Intel,White,DDR3 SDRAM,64 GB,Intel HD Graphics,32 GB mechanical_hard_drive,ATA,,2.86 pounds,,1366 x 768,1.8 GHz,,,Windows 10,,Battery Powered,1.6 GHz celeron_j3455,Intel,4,,2 GB DDR3,A116,11.6 Inches,Bluetooth,$269.66,3.4,,PC,,,,,,16.22 x 9.29 x 1.89 inches,,,,,,,,,,,,,,,,,
1528,,1 Lithium ion batteries required. (included),HP,Integrated,AMD,,Unknown,16,,Flash Memory Solid State,Solid State,8.9 x 13.3 x 0.7 inches,3.46 pounds,7CZ87UT#ABA,,,,1,Chrome OS,No Optical Drive,,1.6 GHz amd_a4,AMD,2,8.9 x 13.3 x 0.7 inches,4 GB DDR4,7CZ87UT#ABA,14 Inches,802.11ac,$309.99,3.4,1 RPM,,,,,,,,,,,,,,,,,,,,,,,,
1529,,3 Lithium Polymer batteries required. (included),ASUS,Integrated,,,DDR4 SDRAM,128 GB,AMD Integrated Radeon™ Graphics,128 GB ssd,Solid State,14.08 x 9.48 x 0.73 inches,4.18 pounds,CM5500,1920 x 1080 Pixels,,,,Chrome OS,,Battery Powered,2.1 GHz ryzen_5_3500u,AMD,4,14.08 x 9.48 x 0.73 inches,8 GB,ASUS Chromebook,15.6 Inches,"Bluetooth, 802.11a",,3.4,,PC,,,,,,,,,,,,,,,,,,,,,,,
1530,,1 Lithium ion batteries required. (included),HP,Integrated,Intel,,DDR4 SDRAM,256 GB,Intel UHD Graphics,256 GB SSD,Solid State,12.76 x 8.86 x 0.71 inches,4.59 pounds,HP 14 laptop,1366 x 768 Pixels,2666 MHz,,,Windows 10,,,1 GHz apple_ci5,Intel,4,12.76 x 8.86 x 0.71 inches,8 GB,,14 Inches,802.11a/b/g/n/ac,,Pre,,PC,,,,,,,,,,,,,,,,,,,,,,,
1531,,1 Lithium ion batteries required. (included),Acer,,Intel,Black,DDR4 SDRAM,128 GB,Intel UHD Graphics,128 GB SSD,PCIE x 4,22 x 14 x 5 inches,6.16 pounds,Aspire,1600 x 900 Pixels,3.6 GHz,,,Windows 10,,,1 GHz core_i5,Intel,4,22 x 14 x 5 inches,20 GB DDR4,Acer Aspire,17.3 Inches,"Bluetooth, 802.11a",,1.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
1532,,1 Lithium ion batteries required. (included),Lenovo,,,,,256 GB,,,,17 x 11.25 x 3 inches,3.56 pounds,20UN000DUS,,,,,Windows 10 Pro,,,,,,17 x 11.25 x 3 inches,,Lenovo Thinkpad,13 Inches,,"$1,399.99",5.0,,,,,,,,,,,,,,,,,,,,,,,,,
1533,,1 Lithium Polymer batteries required. (included),VGKE,Integrated,Intel,Black,DDR4 SDRAM,,600,256 GB SSD,USB 3.0,14.09 x 0.78 x 9.05 inches,3.08 pounds,B15,1920*1080 Pixels,2.7 GHz,,,Windows 10,,,2.7 GHz,Intel,,14.09 x 0.78 x 9.05 inches,12 GB LPDDR4,B15,15.6 Inches,,,Pre,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
1534,,1 Lithium ion batteries required.,Lenovo,,Intel,,,1,,flash_memory_solid_state,,,6.05 pounds,20S6003YUS,3840x2160,1.8 GHz,1,1,Windows 10 Pro,,,apple_ci7,Intel,1,,24 GB DDR4,20S6003YUS,15.6 Inches,,"$2,119.99",5.0,,,,24 GB,,,,19 x 13.1 x 3.2 inches,,,,,,,,,,,,,,,,,
1535,8 Hours,,Dell,Dedicated,NVIDIA,Black,DDR4 SDRAM,,NVIDIA GrForce GTX 1650 Ti,256 GB SSD,Solid State,14.2 x 9.4 x 0.9 inches,3.29 pounds,G5 5500,1920x1080 Pixels,2.5 GHz,,,Windows 10,,,2.5 GHz,Intel,4,14.2 x 9.4 x 0.9 inches,8 GB DDR4,Inspiron G5 5500,15.6 Inches,"Bluetooth, 802.11abg",,Pre,,PC,1920 x 1080,,,,1 MP,,,,,,,,,,,,,,,,,,
1536,,Lithium ion batteries required. (included),Dell,Integrated,Intel,,DDR4 SDRAM,,,256 GB SSD,,,3.5 pounds,8GHT7,1920 x 1080,,,,Windows 10 Pro,No Optical Drive,,core_i5,Intel,1,,,Dell Latitude,13.3 Inches,"Bluetooth, 802.11ac","$1,226.89",Pre,,,,,,,,14.76 x 13.54 x 2.99 inches,,,,,,,,,,,,,,,,,
1537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$319.99,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
1538,,1 9V batteries required. (included),Dell,,Intel,,DDR4 SDRAM,,Intel Iris Xe Graphics,512 GB SSD,Serial ATA,,5 pounds,2T9RC,1920 x 1080 Pixels,2.6 GHz,,,Windows 10 Pro,,Battery Powered,2.6 GHz core_i5,Intel Core i5-1145G7,1,,16 GB DDR4,Latitude 5420,14 Inches,,,3.0,,PC,1920 x 1080,,,,,15.31 x 13.31 x 2.95 inches,,,,,,,,,,,,,,,,,
1539,6 Hours,1 Lithium ion batteries required. (included),Thomson,Integrated,Intel,,DDR3L-1600 SDRAM,,Intel Iris Graphics 6100,1 TB HDD,Serial ATA-600,,3.96 pounds,WWNEO15I5-8BK1T,1920x1080 Pixels,2.7 GHz,,,Windows 10,,Battery Powered,2.7 GHz core_i5_5257u,Intel,4,,8 GB DDR3L,,15.6 Inches,,,4.2,,PC,,,,,,16.54 x 11.06 x 3.11 inches,,,,,,,,,,,,,,,,,
1540,,,Acer,Integrated,Intel,,GDDR4,,Integrated,256 GB SSD,Serial ATA-600,,5.59 pounds,A315-56-53E3,1366 x 768 Pixels,,,,Windows 10 Home,,,4.2 GHz core_i5_1035g1,Intel,4,,8 GB,,15.6 Inches,,,Pre,,PC,,,,,,20 x 12 x 2.5 inches,,,,,,,,,,,,,,,,,
1541,10 Hours,,ASUS,Integrated,Intel,Silver,DDR4 SDRAM,64 GB,Intel HD Graphics 500,64 GB SSD,Solid State,13.5 x 8.4 x 0.8 inches,2.7 pounds,ASUS Chromebook,1366 x 768 Pixels,,,4,Chrome OS,,Battery Powered,1.1 GHz celeron_n3350,Intel,2,13.5 x 8.4 x 0.8 inches,4 GB DDR3,ASUS,14 Inches,"Bluetooth, 802.11a/b/g/n/ac",$246.00,3.9,,PC,,,,,,,,,,,,,,,,,,,,,,,
1542,,,Dell,Integrated,Intel,Silver,DDR4 SDRAM,256 GB,Integrated Intel Iris Xe Graphics,256 GB SSD,Solid State,14.02 x 9.23 x 0.69 inches,3.78 pounds,Dell Inspiron 15,1920 x 1080 Pixels,3200 MHz,,,Windows 10,,,4.2 GHz core_i5,Intel,4,14.02 x 9.23 x 0.69 inches,8 GB DDR4,Dell Inspiron,15.6 Inches,"Bluetooth, 802.11ac",,5.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
1543,,1 A batteries required.,HP,,AMD,128gb SSD,DDR SDRAM,128 GB,AMD Radeon Vega 8,flash_memory_solid_state,,14.3 x 9.7 x 0.7 inches,4.7 pounds,3WW57UA,1920 x 1080,2400 MHz,,,Windows 10,,,,AMD,2,14.3 x 9.7 x 0.7 inches,8 GB DDR4,HP Envy,15.6 Inches,Bluetooth,$749.99,4.0,,Windows,,,,,,,,,,,,,,,,,,,,,,,
1544,16 Hours,1 Lithium ion batteries required. (included),Acer,Integrated,Intel,Silver,DDR4 SDRAM,,Intel,512 GB SSD,Solid State,12.73 x 8.62 x 0.63 inches,2.65 pounds,Swift 3,2256 x 1504 Pixels,2.8 GHz,,,Windows 10 Home,,Battery Powered,4.7 GHz apple_ci7,Intel,4,12.73 x 8.62 x 0.63 inches,8 GB,Swift 3,13.5 Inches,,,5.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
1545,12.5 Hours,1 Lithium ion batteries required.,Acer,Integrated,Intel,Black,,,,,USB-C,8.2 x 11.9 x 0.84 inches,2.8 pounds,NX.H8VAA.006,1366 x 768 Pixels,2.8 GHz,,2,Chrome OS,No Optical Drive,Battery Powered,1.1 GHz celeron,Intel,2,8.2 x 11.9 x 0.84 inches,4 GB DDR4,Intel Celeron processor N4020,11.6 Inches,"Bluetooth, 802.11a/b/g/n/ac, 801.11ac",$249.99,5.0,,,1366 x 768,,20 Volts,NX.H8VAA.006,,,,,,,,,,,,,,,,,,,
1546,,,KJD,Integrated,Intel,,DDR3L-1600 SDRAM,,400,4 GB HDD,ESATA,,6.59 pounds,430 G3,1920*1080 Pixels,2.5 GHz,,,Windows,,,2.3 GHz core_i3_6100u,Intel,2,,4 GB,430 G3,13.3 Inches,801.11ac,,4.1,,PC,,,,,,15.4 x 15.2 x 3.9 inches,,,,,,,,,,,,,,,,,
1547,,1 Lithium Metal batteries required.,HP,NVIDIA GeForce GTX 1660 Ti 6GB Graphics,NVIDIA,Mica Silver,DDR4 SDRAM,1,NVIDIA GeForce GTX 1660Ti,1000 GB SSD,Solid State,14 x 9.4 x 0.9 inches,5.5 pounds,15-EN0023DX,1920 x 1080 Pixels,3200 MHz,1,,Windows 10 Home,,AC & Battery,2.9 GHz ryzen_7_4800h,AMD,8,14 x 9.4 x 0.9 inches,16 GB DIMM,15-EN0023DX,15.6 Inches,Bluetooth,,4.4,,PC,,6 GB,,,,,,,,,,,,,,,,,,,,,
1548,8 Hours,1 Lithium ion batteries required. (included),Acer,Integrated,Intel,,DDR4 SDRAM,128,Integrated,128 GB Flash Memory Solid State,Solid State,14.31 x 9.86 x 0.71 inches,4.4 pounds,A515-55-378V,1920 x 1080 Pixels,3.4 GHz,1,2,Windows 10 S,No Optical Drive,Battery Powered,3.4 GHz apple_ci3,Intel,2,14.31 x 9.86 x 0.71 inches,4 GB DDR4,A515-55-378V,15.6 Inches,Bluetooth,$524.90,4.6,,PC,,,,,,,,,,,,,,,,,,,,,,,
1549,,1 Lithium ion batteries required. (included),HP,,Intel,Silver,DDR4 SDRAM,,Intel Iris Xe Graphics,1 TB HDD,ATA,16.33 x 10.72 x 0.96 inches,5.29 pounds,HP 17,1600 x 900 Pixels,2666 MHz,,,Windows 10,DVD,AC & Battery,4.2 GHz core_i5,Intel,4,16.33 x 10.72 x 0.96 inches,12 GB DDR4,,17.3 Inches,802.11a/b/g/n/ac,$789.00,1.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
1550,,1 Lithium Polymer batteries required. (included),HP,Integrated,Allwinner,Black,DDR4 SDRAM,128,AMD Radeon Graphics,128 GB ssd,Solid State,12.76 x 8.9 x 0.78 inches,3.3 pounds,HP 14-dk,1366 x 768 Pixels,3.2 GHz,,,Windows 10,BD-R,,2.3 GHz athlon,AMD,2,12.76 x 8.9 x 0.78 inches,4 GB DDR4,HP 14,14 Inches,"Bluetooth, 802.11b",$323.09,4.5,,PC,,,,,,,,,,,,,,,,,,,,,,,
1551,5 	years,1 Lithium Polymer batteries required. (included),VUCATIMES,Integrated,Intel,"Blue (6GB+128GB, 2 Core)",DDR4 SDRAM,6 GB,Intel HD Graphics 500,128 GB SSD,USB,12.8 x 8.66 x 0.67 inches,2.9 pounds,VucaBook 14 (Celeron 2-Core),1920 x 1080 Pixels,,,2,Windows 10 S,,AC & Battery,1.1 GHz celeron_n3350,Intel,2,12.8 x 8.66 x 0.67 inches,6 GB DDR4,VucaBook 14 (Celeron 2-Core),14 Inches,"Bluetooth, 801.11ac",,3.7,,PC,1920x1080,,12 Volts (DC),,0.3 MP,,,,,,,,,,,,,,,,,,
1552,,1 Lithium ion batteries required. (included),Dell,Integrated,Intel,,,,,256 GB SSD,,,4.31 pounds,7320,,,1,,Windows 10 Pro,No Optical Drive,,2.6 GHz core_i5,Intel,1,,8 GB LPDDR4,Dell Latitude,13.3 Inches,,"$1,383.98",4.1,,,,,,,,14.65 x 13.5 x 2.91 inches,,,,,,,,,,,,,,,,,
1553,,1 Lithium Polymer batteries required.,RCA,Integrated,,Pink,DDR SDRAM,32 GB,Intel HD Graphics,32 GB,,10.2 x 6.5 x 0.39 inches,1.15 pounds,RCA6303W87DK,,,,,Android 5.0 Lollipop,,Corded Electric,,,4,10.2 x 6.5 x 0.39 inches,1 GB,RCT6303W87DK,10 Inches,802.11bgn,,4.0,,Android,1280 x 800 pixels,,110 Volts,,2 MP,,,,,,,,,,,,,,,,,,
1554,9 Hours,1 Lithium ion batteries required. (included),Lenovo,,Shared,Abyss Blue,DDR4 SDRAM,256 GB,Intel UHD Graphics,1 TB HDD,Solid State,15.83 x 11.07 x 0.78 inches,4.84 pounds,IdeaPad3,1600 x 900 Pixels,2666 MHz,,,Windows 10 S,No Optical Drive,AC & Battery,1 GHz apple_ci5,Intel,4,15.83 x 11.07 x 0.78 inches,16 GB,Ideapad 3 17,17.3 Inches,802.11ac,$769.00,3.4,,PC,,,,,,,,,,,,,,,,,,,,,,,
1555,,1 Lithium ion batteries required. (included),Lenovo,Dedicated,,,DDR4 SDRAM,,NVIDIA GeForce GTX 1650 Ti,256 GB SSD,Solid State,10.22 x 14.3 x 0.87 inches,10.05 pounds,Legion 5,1920 x 1080 Pixels,,,,Windows 10,,Battery Powered,4 GHz ryzen_5_4600h,AMD,6,10.22 x 14.3 x 0.87 inches,8 GB SO-DIMM,Lenovo Legion,15.6 Inches,Bluetooth,,4.5,7200 RPM,PC,,,,,,,,,,,,,,,,,,,,,,,
1556,,,Dell,Integrated,Intel,,DDR4 SDRAM,256,Intel UHD Graphics 620,256 GB SSD,USB,8.88 x 12.62 x 0.77 inches,3.4 pounds,3310,1920 x 1080,1.6 GHz,2,1,Windows 10 Home,,Battery Powered,1.6 GHz core_i5,Intel,1,8.88 x 12.62 x 0.77 inches,8 GB DDR4,DJT6M,13.3 Inches,,"$1,029.99",5.0,,,1920 x 1080,,,,,,,,,,,,,,,,,,,,,,
1557,,1 Lithium Polymer batteries required.,Lenovo,Integrated,Intel,,DDR4 SDRAM,256 GB,,256 GB flash_memory_solid_state,Solid State,14.88 x 10.24 x 0.9 inches,4.85 pounds,Lenovo Ideapad,,3.4 GHz,,,Windows 10,,,1.6 GHz core_i5,Intel,4,14.88 x 10.24 x 0.9 inches,8 GB DDR4,Lenovo Ideapad,15.6 Inches,802.11ac,$619.90,3.6,,PC,1920 x 1080,,,,,,,,,,,,,,,,,,,,,,
1558,,,HP,,AMD,Silver,DDR4 SDRAM,256 GB,AMD Radeon Vega 3,256 GB SSD,Solid State,13.6 x 8.2 x 0.72 inches,4 pounds,14-dk,1366 x 768 Pixels,3.5 GHz,,,Windows 10 S,,AC & Battery,2.6 GHz ryzen_3,AMD,2,13.6 x 8.2 x 0.72 inches,8 GB DDR4,HP,14 Inches,802.11ac,$470.00,4.1,,PC,1366 x 768,,,,,,,,,,,,,,,,,,,,,,
1559,,,Lenovo,Integrated,Intel,Grey,DDR SDRAM,64 GB,Intel UHD Graphics,192 GB hybrid,Serial ATA,8.43 x 12.2 x 0.67 inches,2.97 pounds,Flex,1920 x 1080 Pixels,,,,Chrome OS,,Battery Powered,2.1 GHz core_i5,Intel,2,8.43 x 12.2 x 0.67 inches,4 GB DDR4,,13 Inches,Bluetooth,$469.99,4.3,,PC,,,,,,,,,,,,,,,,,,,,,,,
1560,,1 Lithium ion batteries required. (included),Computer Upgrade King,,Intel,,DDR4 SDRAM,1 TB,,1000 GB flash_memory_solid_state,Solid State,19 x 11.8 x 2.9 inches,4.99 pounds,,1366 x 768,2666 MHz,,,Windows 10 Home,,,2.4 GHz core_i5,Intel,4,19 x 11.8 x 2.9 inches,16 GB DDR4,,15.6 Inches,802.11ax,,3.7,,PC,1366 x 768,,,,,,,,,,,,,,,,,,,,,,
1561,,1 Lithium ion batteries required. (included),Lenovo,,Intel,,DDR4 SDRAM,512 GB,,512 GB flash_memory_solid_state,USB 3.2,12.9 x 8.9 x 0.63 inches,4.25 pounds,20T00026US,1920 x 1080,1.8 GHz,,,Windows 10 Pro,,,1.8 GHz core_i7,Intel,4,12.9 x 8.9 x 0.63 inches,16 GB DDR4,Lenovo Thinkpad,14 Inches,802.11a,,5.0,,,1920 x 1080,,,,,,,,,,,,,,,,,,,,,,
1562,12 Hours,,HP,,Intel,Dark blue,DDR4 SDRAM,64 GB,Intel UHD Graphics 600,64 GB SSD,Solid State,11.08 x 7.59 x 0.66 inches,2.37 pounds,HP STREM 11,1366 x 768 Pixels,2400 MHz,,3,Windows 10 S,,AC & Battery,1.1 GHz celeron,Intel,2,11.08 x 7.59 x 0.66 inches,4 GB DDR4,HP Stream,11.6 Inches,802.11ac,,4.1,,PC,1360x768,,,,720 Pixels,,,,,,,,,,,,,,,,,,
1563,,1 Lithium Metal batteries required. (included),HP,Integrated,Intel,,DDR DRAM,128,Amd,128 GB SSD,Solid State,,6.17 pounds,15-ef107,1366 x 768 MP,3.2 GHz,2,,Windows 10 S,,,2.3 GHz athlon_silver_3050U,AMD,2,,4 GB DDR4,‎15-ef107,15.6 Inches,,$392.95,4.1,,PC,,,,,,18.98 x 12.17 x 4.06 inches,,,,,,,,,,,,,,,,,
1564,,1 Lithium ion batteries required. (included),Dell,Dedicated,AMD,Silver,DDR4 SDRAM,256 GB,Radeon RX 5600M,256 GB SSD,Solid State,20.5 x 19.8 x 14.8 inches,8.88 pounds,5505,1920 x 1080 Pixels,,,,Windows 10,,,2.9 GHz ryzen_7_4800h,AMD,8,20.5 x 19.8 x 14.8 inches,16 GB DDR4,G5 15,15.6 Inches,802.11ax,"$1,199.00",2.8,,PC,1920x1080,6 GB,,,,,,,,,,,,,,,,,,,,,
1565,15 Hours,1 Lithium ion batteries required. (included),Lenovo,,Intel,Iron Grey,DDR4 SDRAM,512 GB,Intel UHD,512 GB ssd,Solid State,14.1 x 9.3 x 0.72 inches,4.18 pounds,81TD0078US,1920 x 1080 Pixels,1.6 GHz,,,Windows 10 Home,,Battery Powered,1.6 GHz core_i5,Intel,4,14.1 x 9.3 x 0.72 inches,8 GB SDRAM,Lenovo Yoga C740,15.6 Inches,802.11ac,$829.00,Pre,,PC,1920x1080,,,,5 MP,,,,,,,,,,,,,,,,,,
1566,,1 Lithium ion batteries required. (included),Basrdis,Integrated,Intel,Gold,DDR3 SDRAM,512 GB,Intel,512 GB SSD,Solid State,11.9 x 7.8 x 0.62 inches,2.7 pounds,XPS13,1920 x 1080 Pixels,2133 MHz,,,Windows 10 Home,,AC & Battery,4.7 GHz core_i7,Intel,6,11.9 x 7.8 x 0.62 inches,16 GB LPDDR3,XPS13,13.3 Inches,Bluetooth,,5.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
